City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,tiksi,85,RU,1563163414,54,71.64,128.87,46.89,17.43
89,katsuura,75,JP,1563163429,69,33.93,134.5,80.6,10.29
90,ola,99,RU,1563163506,94,59.58,151.3,49.41,14.9
91,mwinilunga,0,ZM,1563163441,43,-11.73,24.43,53.37,7.4
92,marondera,0,ZW,1563163506,93,-18.19,31.55,41.0,6.93
93,ribeira grande,100,PT,1563163403,66,38.52,-28.7,68.49,8.39
94,yamada,75,JP,1563163506,100,36.58,137.08,77.0,5.82
95,long xuyen,75,VN,1563163506,75,10.39,105.43,89.6,10.29
96,lebu,75,ET,1563163407,93,8.96,38.73,53.6,2.24
97,nouadhibou,75,MR,1563163460,88,20.93,-17.03,68.0,20.8
98,yaan,100,NG,1563163370,97,7.38,8.57,72.81,3.47
99,puerto ayora,9,EC,1563163409,93,-0.74,-90.35,70.0,8.86
100,hithadhoo,95,MV,1563163371,69,-0.6,73.08,82.89,4.14
101,shimoda,75,JP,1563163402,94,34.7,138.93,77.0,13.87
102,komsomolskiy,100,RU,1563163507,93,67.55,63.78,48.33,15.68
103,bilibino,98,RU,1563163507,84,68.06,166.44,51.21,6.15
104,klaksvik,90,FO,1563163247,100,62.23,-6.59,53.6,4.7
105,port hawkesbury,90,CA,1563163507,100,45.62,-61.36,62.01,5.82
106,touros,40,BR,1563163450,94,-5.2,-35.46,73.4,4.7
107,vasvar,0,HU,1563163507,93,47.05,16.8,55.99,3.36
108,cabras,100,CO,1563163507,96,5.5,-75.6,57.99,1.61
109,hobart,75,AU,1563163219,58,-42.88,147.33,55.99,18.34
110,naze,100,NG,1563163508,93,5.43,7.07,74.25,5.17
111,qaanaaq,100,GL,1563163243,76,77.48,-69.36,42.93,9.4
112,san carlos del zulia,62,VE,1563163465,88,9.0,-71.91,77.13,1.21
113,bloemfontein,0,ZA,1563163508,34,-29.12,26.22,32.0,1.12
114,nioro,48,GM,1563163508,76,13.79,-15.05,79.65,10.22
115,nome,90,US,1563163419,94,30.04,-94.42,84.0,5.82
116,porto novo,0,BR,1563163442,87,-23.68,-45.44,55.4,3.36
117,kanye,0,BW,1563163508,37,-24.98,25.34,50.85,12.26
118,georgetown,20,GY,1563163411,94,6.8,-58.16,75.2,4.7
119,flinders,0,AU,1563163435,31,-34.58,150.85,64.0,17.22
120,hay river,20,CA,1563163509,46,60.82,-115.79,69.8,2.24
121,thunder bay,75,CA,1563163315,77,48.41,-89.26,66.0,9.17
122,wadi maliz,0,TN,1563163509,61,36.47,8.55,77.0,6.93
123,san lazaro,0,BZ,1563163509,90,18.04,-88.66,75.33,2.64
